x,l,P_forward,P_backward
0.10,0,1.00000000000000000e+00,1.00000000000000000e+00
0.10,1,1.00000000000000006e-01,1.63460773482224742e+00
0.10,2,-4.84999999999999987e-01,-2.54808839776662854e-01
0.10,3,-1.47499999999999992e-01,-1.13220662984427523e+00
0.10,4,3.37937500000000002e-01,-7.02953039025107449e-03
0.10,5,1.78828750000000009e-01,9.04499988405174982e-01
0.10,6,-2.48829312499999983e-01,1.71682939866158013e-01
0.10,7,-1.99492943750000012e-01,-7.43401729800720612e-01
0.10,8,1.80320721484374974e-01,-2.89610396720523355e-01
0.10,9,2.11387641835937501e-01,6.06097351553430475e-01
0.10,10,-1.22124997387109330e-01,3.75807853843622863e-01
0.10,11,-2.15485355715664073e-01,-4.79252456587517861e-01
0.10,12,7.06465544260145989e-02,-4.36347253535928570e-01
0.10,13,2.12495434973308112e-01,3.58473949631568645e-01
0.10,14,-2.46191095078755647e-02,4.74313854283736236e-01
0.10,15,-2.03088767146610200e-01,-2.42875007827941719e-01
0.10,16,-1.62680334710223820e-02,-4.91726271157666428e-01
0.10,17,1.87984456699493485e-01,1.33135495907456963e-01
0.10,18,5.19167870808670967e-02,4.90295602519801643e-01
0.10,19,-1.67980426757456558e-01,-3.06497472111031226e-02
0.10,20,-8.20771309445277736e-02,-4.71757523099976706e-01
0.10,21,1.43956776108407958e-01,-6.29148047851353365e-02
0.10,22,1.06483358504601680e-01,4.38017014751064970e-01
0.10,23,-1.16864085265837719e-01,1.45878359637076932e-01
0.10,24,-1.24932435264803174e-01,-3.91198460374176382e-01
0.10,25,8.77027645433027941e-02,-2.16718123484932412e-01
0.10,26,1.37330576184266279e-01,3.33642272291586661e-01
0.10,27,-5.74970305314541283e-02,2.74184268657542640e-01
0.10,28,-1.43719972317792405e-01,-2.67868852652012712e-01
0.10,29,2.72659659541137564e-02,-3.17379723535436753e-01
0.10,30,1.44291613211508352e-01,1.96521878601643080e-01
0.10,31,2.00644716021897672e-03,3.45812102113971731e-01
0.10,32,-1.39387481013980602e-01,-1.22298812291653541e-01
0.10,33,-2.94007556278145787e-02,-3.59422107501298327e-01
0.10,34,1.29494170904558892e-01,4.78744907460549457e-02
0.10,35,5.40895848739186280e-02,3.58591018319769250e-01
0.10,36,-1.15229442473742755e-01,2.41774737210677451e-02
0.10,37,-7.53621617707943975e-02,-3.44129218955348704e-01
0.10,38,9.73229778486190550e-02,-9.14614649959111237e-02
0.10,39,9.26448481211424035e-02,3.17247616406018784e-01
0.10,40,-7.65925458984779428e-02,1.51831332611202074e-01
0.10,41,-1.05516915771301636e-01,-2.79513923465610159e-01
