x,l,P_ref
0.10,0,1.0
0.10,1,0.1000000000000000055511151231257827
0.10,2,-0.48499999999999999833466546306226514
0.10,3,-0.14750000000000000791033905045424033
0.10,4,0.33793749999999999593380817231036406
0.10,5,0.1788287500000000089730306518376323
0.10,6,-0.24882931249999999314650306336815772
0.10,7,-0.19949294375000000898361142420700514
0.10,8,0.18032072148437499024237248151925052
0.10,9,0.21138764183593750803306700455572147
0.10,10,-0.12212499738710936246232194517073711
0.10,11,-0.21548535571566406870346131349714833
0.10,12,0.070646554426014633462945665545945795
0.10,13,0.21249543497330810906946760327731598
0.10,14,-0.024619109507875593477278022214960594
0.10,15,-0.20308876714661018346799296882736601
0.10,16,-0.01626803347102235634625317475753101
0.10,17,0.18798445669949347979795076740760113
0.10,18,0.051916787080867070761247181900255842
0.10,19,-0.16798042675745655073069710261494121
0.10,20,-0.082077130944527746434004198171914476
0.10,21,0.14395677610840796359781529157082412
0.10,22,0.10648335850460167967940369561058306
0.10,23,-0.11686408526583772234761120022978957
0.10,24,-0.12493243526480316492292413418282083
0.10,25,0.087702764543302791769525533616696978
0.10,26,0.1373305761842662840741130326317436
0.10,27,-0.057497030531454120000405902589289095
0.10,28,-0.14371997231779240526992068963525206
0.10,29,0.027265965954113744982685136805301055
0.10,30,0.14429161321150836190518589159632945
0.10,31,0.0020064471602189905484135666172387527
0.10,32,-0.13938748101398061180950193630570033
0.10,33,-0.029400755627814597715307082326097321
0.10,34,0.12949417090455889335547467177387719
0.10,35,0.054089584873918649602084929040209748
0.10,36,-0.11522944247374274538745908670829525
0.10,37,-0.075362161770794418208056690076441794
0.10,38,0.097322977848619037142098903653564871
0.10,39,0.092644848121142423576914024399905096
0.10,40,-0.076592545898477931541398531710438692
0.10,41,-0.10551691577130166397563381246746884
0.10,42,0.053916761450852174609129661078667676
0.10,43,0.11372099848202124178126895308336228
0.10,44,-0.03020563762711496931305269758824747
0.10,45,-0.11716786906867239733744612083479924
0.10,46,0.0063701322759837987854149927848984255
0.10,47,0.11593540866650169381947841253953566
0.10,48,0.016708128445010991864786797747957996
0.10,49,-0.11026185245051989129081436016714992
0.10,50,-0.038205812661313711714983253657144852
0.50,0,1.0
0.50,1,0.5
0.50,2,-0.125
0.50,3,-0.4375
0.50,4,-0.2890625
0.50,5,0.08984375
0.50,6,0.3232421875
0.50,7,0.22314453125
0.50,8,-0.073638916015625
0.50,9,-0.2678985595703125
0.50,10,-0.188228607177734375
0.50,11,0.0638713836669921875
0.50,12,0.2337529659271240234375
0.50,13,0.16580426692962646484375
0.50,14,-0.0571736395359039306640625
0.50,15,-0.21001850068569183349609375
0.50,16,-0.1498551354743540287017822265625
0.50,17,0.05221683974377810955047607421875
0.50,18,0.1922962221433408558368682861328125
0.50,19,0.13776721022441051900386810302734375
0.50,20,-0.048358381067373557016253471374511719
0.50,21,-0.1784138579223508713766932487487793
0.50,22,-0.12819872467798631987534463405609131
